times,flux,raw_flux,rawraw_flux,obs_vr,obs_vw,obs_vn,dsun_obs,rsun_obs
2456082.583284722,1.0000193343476498,0.9991752566536095,568169005056.0,2064.304728,29433.414283,6149.279422,151773625503.49,945.887695
2456082.5838055555,1.0000284868438067,0.9991920906427093,568177917952.0,2061.657537,29443.108489,6149.949195,151773718338.41,945.887146
2456082.584326389,1.0000268699412354,0.9991981046920031,568180604928.0,2058.990939,29452.799251,6150.591619,151773811053.61,945.886536
2456082.584847222,1.0000367283927358,0.9992152866139579,568189714432.0,2056.305046,29462.486066,6151.207632,151773903648.52,945.885986
2456082.5853680554,1.0000381564874865,0.9992242836143781,568194170880.0,2053.59991,29472.168665,6151.797894,151773996122.17,945.885437
2456082.5858888887,1.0000147991475825,0.999208515185567,568184471552.0,2050.875311,29481.847836,6152.362182,151774088473.62,945.884827
2456082.5864097225,1.0000197534443351,0.9992208566097582,568190828544.0,2048.131315,29491.523526,6152.899136,151774180701.87,945.884277
2456082.5869305558,1.0000358995727583,0.9992446195077684,568203608064.0,2045.368127,29501.194914,6153.409634,151774272806.33,945.883667
2456082.587451389,1.0000253917558781,0.9992416303811543,568201248768.0,2042.585896,29510.861412,6153.894295,151774364786.08,945.883118
2456082.5879722224,1.0000444733099447,0.9992681478921646,568215666688.0,2039.784355,29520.523962,6154.352916,151774456640.14,945.882568
2456082.5884930557,1.0000336968425598,0.9992647114088046,568212979712.0,2036.963574,29530.182411,6154.784815,151774548367.54,945.881958
2456082.589013889,1.0000335142158783,0.9992719797528528,568216453120.0,2034.123652,29539.836406,6155.190059,151774639967.7,945.881409
2456082.5895347223,1.000015346485103,0.9992615149741421,568209768448.0,2031.26455,29549.485589,6155.568614,151774731439.68,945.880798
2456082.5900555556,0.9999811470000128,0.9992345532953528,568193777664.0,2028.385623,29559.12994,6155.920477,151774822782.54,945.880249
2456082.590576389,0.999961301601406,0.999222113403408,568186044416.0,2025.488592,29568.769151,6156.246301,151774913995.29,945.8797
2456082.591097222,0.999935349654729,0.9992034519373866,568174772224.0,2022.572729,29578.403577,6156.545638,151775005077.37,945.87915
2456082.5916180555,0.9999278634225357,0.999203242426806,568173920256.0,2019.637501,29588.0333,6156.818293,151775096027.84,945.87854
2456082.592138889,0.9999175877027392,0.9992004837198591,568171692032.0,2016.682682,29597.657345,6157.064934,151775186845.75,945.877991
2456082.592659722,0.999916147257524,0.9992062558649363,568174313472.0,2013.709719,29607.276491,6157.284732,151775277530.15,945.877441
2456082.5931805554,0.9999482807145403,0.9992455782977852,568195940352.0,2010.717663,29616.89038,6157.478153,151775368080.45,945.876831
2456082.5937013887,0.9999211742679419,0.9992257620933976,568184012800.0,2007.706121,29626.498855,6157.645523,151775458495.73,945.876282
2456082.5942222225,0.9999124599938266,0.9992245038081454,568182636544.0,2004.676599,29636.102374,6157.786739,151775548775.05,945.875732
2456082.5947430558,0.999926527799034,0.9992458331668619,568194105344.0,2001.627718,29645.699205,6157.900907,151775638917.46,945.875183
2456082.595263889,0.9999216293089289,0.9992480304082263,568194695168.0,1998.560281,29655.290187,6157.988241,151775728922.38,945.874634
2456082.5957847224,0.9999588981641353,0.999292426420595,568219205632.0,1995.47458,29664.875753,6158.04895,151775818788.9,945.874023
2456082.5963055557,0.999980231292925,0.999321016953782,568234803200.0,1992.369155,29674.455238,6158.08358,151775908516.09,945.873474
2456082.596826389,0.9999714074585114,0.9993194108920853,568233230336.0,1989.245764,29684.029192,6158.091979,151775998102.98,945.872925
2456082.5973472223,1.0000126943013325,0.9993679426742296,568260165632.0,1986.103648,29693.596616,6158.074038,151776087549.02,945.872375
2456082.5978680556,1.000031211120454,0.9993934215158503,568273993728.0,1982.942522,29703.157046,6158.029558,151776176853.3,945.871826
2456082.598388889,1.0000286188322478,0.9993979240366474,568275894272.0,1979.76345,29712.712492,6157.958165,151776266014.88,945.871277
2456082.598909722,1.0000410747677633,0.9994175249676566,568286380032.0,1976.565842,29722.260771,6157.860494,151776355032.82,945.870728
2456082.5994305555,1.0000516835026934,0.9994353992302768,568295882752.0,1973.349406,29731.802081,6157.73644,151776443906.57,945.870178
2456082.599951389,1.0000277599325695,0.9994184643401404,568285593600.0,1970.114055,29741.336587,6157.585871,151776532635.22,945.869629
2456082.600472222,1.0000403486459293,0.9994380790153352,568296013824.0,1966.860966,29750.865354,6157.408294,151776621217.84,945.869019
2456082.6009930554,0.9999849440678501,0.9993896814428469,568267833344.0,1963.589493,29760.386351,6157.205053,151776709653.5,945.868469
2456082.6015138887,0.999915122598607,0.9993268746878662,568231460864.0,1960.299498,29769.900691,6156.975288,151776797941.65,945.86792
2456082.6020347225,0.999941934585253,0.9993608826443189,568250138624.0,1956.990783,29779.408666,6156.718483,151776886081.37,945.867371
2456082.6025555558,0.9999353725002414,0.9993612380643914,568249679872.0,1953.663363,29788.907895,6156.435288,151776974071.77,945.866821
2456082.603076389,0.9999563702227204,0.9993891375677073,568264884224.0,1950.318845,29798.400915,6156.126466,151777061911.91,945.866272
2456082.6035972224,1.0000158155219838,0.9994554037887418,568301977600.0,1946.956096,29807.88644,6155.791002,151777149601.24,945.865784
2456082.6041180557,0.9999896527023175,0.9994360504899898,568290312192.0,1943.574413,29817.363767,6155.428265,151777237138.87,945.865234
2456082.604638889,0.9999735765582614,0.9994268375988434,568284413952.0,1940.174591,29826.833983,6155.039346,151777324523.88,945.864685
2456082.6051597223,0.9999887441091262,0.9994490897296889,568296407040.0,1936.757298,29836.296266,6154.624582,151777411755.37,945.864136
2456082.6056805556,0.9999676559384357,0.999434807649179,568287625216.0,1933.321579,29845.750968,6154.183164,151777498832.77,945.863586
2456082.606201389,0.9999548012349417,0.9994290524276489,568283693056.0,1929.867035,29855.198092,6153.714694,151777585755.21,945.863037
2456082.606722222,0.9999969725766771,0.9994776984834611,568310693888.0,1926.395567,29864.636535,6153.220612,151777672521.79,945.862488
2456082.6072430555,1.0000095531380164,0.9994971867168668,568321114112.0,1922.905748,29874.067207,6152.699871,151777759131.59,945.861938
2456082.607763889,1.0000089298051653,0.9995034182987463,568323997696.0,1919.398231,29883.489736,6152.152576,151777845584.07,945.861389
2456082.608284722,1.000038867098029,0.9995397184029725,568344051712.0,1915.873134,29892.903927,6151.578852,151777931878.35,945.860901
2456082.6088055554,1.0000093514797468,0.9995172509306558,568330616832.0,1912.328882,29902.310056,6150.979365,151778018013.54,945.860352
2456082.6093263887,0.9999854488294896,0.9994998568545389,568320065536.0,1908.767679,29911.707219,6150.353087,151778103988.73,945.859802
2456082.6098472225,1.0000224852812856,0.9995434319798198,568344182784.0,1905.18874,29921.09581,6149.700199,151778189803.38,945.859253
2456082.6103680558,0.999985238603618,0.9995129979740965,568326291456.0,1901.591795,29930.475956,6149.02087,151778275456.63,945.858765
2456082.610888889,0.9999500320236173,0.999484423805295,568309383168.0,1897.977819,29939.847051,6148.315652,151778360947.59,945.858215
2456082.6114097224,0.999960610122696,0.9995013744246519,568318361600.0,1894.345861,29949.209177,6147.583642,151778446275.35,945.857666
2456082.6119305557,0.9999511122569578,0.9994986159164293,568316133376.0,1890.696052,29958.562334,6146.824973,151778531439.4,945.857117
2456082.612451389,0.9999463863439934,0.9995006867072311,568316723200.0,1887.028442,29967.906359,6146.039915,151778616438.86,945.856628
2456082.6129722223,0.9999889567045749,0.999549794531721,568343986176.0,1883.343205,29977.240499,6145.229633,151778701272.85,945.856079
